15:54:43.121 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:43.122 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:44.405 [main] INFO  com.solvd.agency.person.Customer - jakub gniadek 111222333 0.0
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:44.406 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:44.407 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:44.407 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:54:53.116 [main] INFO  com.solvd.agency.utils.Utils - Enter the phone number:
15:54:56.806 [main] INFO  com.solvd.agency.Main - Enter balance to add
15:54:59.508 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:54:59.509 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:54:59.510 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:54:59.510 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:55:22.864 [main] INFO  com.solvd.agency.utils.Utils - Enter the phone number:
15:55:27.832 [main] INFO  com.solvd.agency.person.Customer - Would you like to purchase insurance? (Type 'Yes' to proceed)
15:55:31.593 [main] INFO  com.solvd.agency.person.Customer - Enter the insurance ID you want to purchase:
15:55:34.271 [main] INFO  com.solvd.agency.person.Customer - Insurance purchased.
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:55:34.272 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:55:34.273 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:55:34.273 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
15:55:43.041 [main] INFO  com.solvd.agency.person.Customer - jakub gniadek 111222333 1900.0 INS001
15:55:43.041 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
15:55:43.041 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
15:55:43.041 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
15:55:43.042 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:36:04.810 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
16:36:04.812 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:36:04.812 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:36:04.812 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:36:04.812 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:36:04.812 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:36:04.812 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:36:04.813 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:36:04.813 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:36:04.813 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:36:04.813 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:36:04.813 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:36:04.813 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:36:21.105 [main] INFO  com.solvd.agency.utils.CreationUtils - Enter destination country:
16:36:30.008 [main] INFO  com.solvd.agency.utils.CreationUtils - Enter destination city:
16:36:32.432 [main] INFO  com.solvd.agency.utils.CreationUtils - Enter destination street:
16:36:48.451 [main] INFO  com.solvd.agency.utils.CreationUtils - Enter destination country:
16:36:49.772 [main] INFO  com.solvd.agency.utils.CreationUtils - Enter destination city:
16:36:50.420 [main] INFO  com.solvd.agency.utils.CreationUtils - Enter destination street:
16:48:15.434 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
